name,EE_region,technology,bidding_EOM,max_power,min_power,unit_operator,fuel_type,additional_cost,efficiency,start_up_cost,shut_down_cost,emission_factor
demand_0,0,inflex_demand,naive_eom,100000,0,eom_0,,,,,,
demand_1,1,inflex_demand,naive_eom,100000,0,eom_1,,,,,,
demand_2,2,inflex_demand,naive_eom,100000,0,eom_2,,,,,,
demand_3,3,inflex_demand,naive_eom,100000,0,eom_3,,,,,,
demand_4,4,inflex_demand,naive_eom,100000,0,eom_4,,,,,,
demand_5,5,inflex_demand,naive_eom,100000,0,eom_5,,,,,,
demand_6,6,inflex_demand,naive_eom,100000,0,eom_6,,,,,,
demand_7,7,inflex_demand,naive_eom,100000,0,eom_7,,,,,,
demand_8,8,inflex_demand,naive_eom,100000,0,eom_8,,,,,,
demand_9,9,inflex_demand,naive_eom,100000,0,eom_9,,,,,,
demand_10,10,inflex_demand,naive_eom,100000,0,eom_10,,,,,,
demand_11,11,inflex_demand,naive_eom,100000,0,eom_11,,,,,,
demand_12,12,inflex_demand,naive_eom,100000,0,eom_12,,,,,,
demand_13,13,inflex_demand,naive_eom,100000,0,eom_13,,,,,,
demand_14,14,inflex_demand,naive_eom,100000,0,eom_14,,,,,,
demand_15,15,inflex_demand,naive_eom,100000,0,eom_15,,,,,,
demand_16,16,inflex_demand,naive_eom,100000,0,eom_16,,,,,,
demand_17,17,inflex_demand,naive_eom,100000,0,eom_17,,,,,,
demand_18,18,inflex_demand,naive_eom,100000,0,eom_18,,,,,,
demand_19,19,inflex_demand,naive_eom,100000,0,eom_19,,,,,,
